Model,Environment,N,AUC,Accuracy,F1,ECE
ERM,2011-12,837,0.8174,0.767,0.6524,0.0447
ERM,2013-14,885,0.8365,0.7672,0.6623,0.0278
ERM,2015-16,872,0.8198,0.7615,0.6634,0.0297
ERM,2017-18,761,0.8235,0.7635,0.7106,0.0395
IRM,2011-12,837,0.8176,0.7575,0.6342,0.044
IRM,2013-14,885,0.8359,0.7706,0.6678,0.0285
IRM,2015-16,872,0.8202,0.7592,0.6613,0.028
IRM,2017-18,761,0.8219,0.7595,0.7063,0.0404
CausTab,2011-12,837,0.8178,0.7658,0.65,0.0411
CausTab,2013-14,885,0.8365,0.7695,0.6645,0.0307
CausTab,2015-16,872,0.8207,0.7592,0.6624,0.0278
CausTab,2017-18,761,0.8235,0.7635,0.7106,0.0389
