Model,Environment,AUC,CI_lower,CI_upper,CI_width
ERM,2011-12,0.8172,0.7869,0.8464,0.0595
ERM,2013-14,0.8357,0.8072,0.8595,0.0523
ERM,2015-16,0.8203,0.7906,0.8483,0.0576
ERM,2017-18,0.823,0.7939,0.8516,0.0577
IRM,2011-12,0.8176,0.7872,0.8465,0.0594
IRM,2013-14,0.8339,0.8051,0.8575,0.0525
IRM,2015-16,0.8198,0.7907,0.8476,0.0569
IRM,2017-18,0.8206,0.7899,0.8497,0.0598
CausTab,2011-12,0.8169,0.7865,0.8459,0.0594
CausTab,2013-14,0.8353,0.8069,0.8591,0.0522
CausTab,2015-16,0.8204,0.7912,0.8481,0.057
CausTab,2017-18,0.8229,0.793,0.8521,0.0591
