Model,Environment,N,AUC,Accuracy,F1,ECE
ERM,2011-12,837,0.8169,0.7587,0.6367,0.0441
ERM,2013-14,885,0.8359,0.7718,0.6678,0.0311
ERM,2015-16,872,0.8193,0.7649,0.6699,0.033
ERM,2017-18,761,0.8228,0.7622,0.7095,0.0467
IRM,2011-12,837,0.8172,0.7599,0.6378,0.0414
IRM,2013-14,885,0.834,0.774,0.67,0.0479
IRM,2015-16,872,0.8189,0.7615,0.6623,0.0384
IRM,2017-18,761,0.8204,0.7556,0.699,0.0468
CausTab,2011-12,837,0.8166,0.7587,0.638,0.0454
CausTab,2013-14,885,0.8355,0.7695,0.6656,0.031
CausTab,2015-16,872,0.8194,0.7626,0.6645,0.0262
CausTab,2017-18,761,0.8227,0.7608,0.7074,0.0449
