Model,Test_Hospital,N_test,AUC,AUC_CI_lo,AUC_CI_hi,Accuracy,F1,ECE
ERM,Cleveland (USA),303,0.8337,0.7892,0.8783,0.7525,0.717,0.1306
ERM,Hungary (Budapest),294,0.8633,0.8142,0.9046,0.7959,0.7368,0.1037
ERM,Switzerland (Zurich),123,0.6217,0.3278,0.8651,0.6829,0.8,0.3377
ERM,VA Long Beach (USA),200,0.6557,0.5651,0.7466,0.695,0.786,0.1871
IRM,Cleveland (USA),303,0.68,0.6244,0.7416,0.67,0.5575,0.0747
IRM,Hungary (Budapest),294,0.8968,0.8563,0.9346,0.8129,0.7679,0.1928
IRM,Switzerland (Zurich),123,0.6152,0.3294,0.8516,0.6179,0.7487,0.3957
IRM,VA Long Beach (USA),200,0.7467,0.663,0.8182,0.725,0.8148,0.1054
CausTab,Cleveland (USA),303,0.4545,0.3813,0.5275,0.4983,0.4722,0.3614
CausTab,Hungary (Budapest),294,0.8757,0.8294,0.9164,0.7381,0.7179,0.2038
CausTab,Switzerland (Zurich),123,0.6098,0.3341,0.8408,0.6911,0.8061,0.3242
CausTab,VA Long Beach (USA),200,0.7061,0.619,0.7843,0.725,0.8173,0.1183
